"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","11.3273771537971","12.101020956475","0","","","",
"Andorra","AND","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.7304964539007","67.9802955665025","67.9943100995733","68.3453237410072","68.7045123726346","69.037037037037","70.3703703703704","72.3880597014925","74.4360902255639","73.7226277372263","74.9890940817217","72.8114599913182","79.0639711991138","66.2909836065574","72.4358974358974","74.0618101545254","70.7557502738226","72","68.6548223350254","87.1766029246344","85.9865470852018","82.4875621890547","0","","","",
"Angola","AGO","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.2068965517241","82.6552462526767","88.70116156283","93.6842105263158","93.717277486911","93.75","89.9805447470817","76.3525305410122","80.4248861911988","66.9662921348315","63.1141868512111","62.0879120879121","64.7592067988669","62.2055137844612","78.405017921147","79.6482412060302","80.6110102843315","77.6188995958968","75.4090471607315","65.3431890179514","67.9574233804368","70.9078039285082","70.9068234455728","","","",
"Albania","ALB","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.0556597873671","93.7633262260128","96.0977062853738","95.1751866743251","96.593237704918","95.2424105120073","96.6250421869727","96.9907407407407","97.0994475138122","97.9062442097461","96.9607429295061","96.2892741061755","95.2794357026587","97.8565705128205","97.5026757046022","98.713944515892","98.3164373642288","97.4825174825175","100","99.8847705012483","99.8284960422164","99.350805482087","100","","","",
"Arab World","ARB","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.24690894868336","6.69585557488155","5.77337601420785","5.39136841620535","5.3247698885383","5.08489522046861","5.30372929091743","5.27131113601814","4.91075727769079","4.95178188032715","4.5602679123662","4.71972773248232","3.8426920996805","4.04200142763847","4.01471374203245","4.59025101620651","4.23706141647042","4.27713589308773","3.4593358423251","3.40287702228322","3.98321043193089","3.76081699084209","3.72267935447655","","","",
"United Arab Emirates","ARE","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Argentina","ARG","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4414662987781","30.4365663987468","34.8705284443729","38.9340002598415","42.6247052984241","40.2133850630456","33.3998220589501","39.3869816592437","36.3900448575907","27.2944188300794","33.159374648521","41.8298840370637","43.5638757652185","37.9517548625448","31.63480257575","33.5251348456266","37.127698397103","29.8171759599892","26.342883457781","28.9265824030709","28.5838595594868","26.0252402454556","23.7690686769158","","","",
"Armenia","ARM","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0067554526153","16.2463219840269","33.8071968014216","68.196981731533","62.1067515022976","34.508181981658","25.2977148374638","23.0552330403052","24.8263608463899","20.9900297358755","21.1648204095334","16.8494342906876","30.0416742163435","36.0298127613161","33.134328358209","28.0671204685769","30.7187342198283","31.4682943370634","31.1785095320624","35.6727208605184","39.4854413803728","33.5665276469797","28.9447486311598","","","",
"American Samoa","ASM","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Australia","AUS","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.65603064418908","10.598201052793","10.066865251436","10.549143571271","10.1944738557986","9.62414281994155","9.22972782400226","9.58767572659215","8.4340500156395","8.54405358817839","8.3816185720276","8.09845495284596","7.86091882240146","8.39052747797481","8.13850664087854","8.80370663945662","9.29891804095804","8.64769649927154","8.11487954186414","7.47971337349107","8.57334385796507","10.1040495383495","9.63259992606998","","","",
