"country.code","year","energy.use","co2.emission","GDP","GDP.growth","pop.0.14","pop.15.64","pop.growth","pop.total","pop.rural","pop.urban","pop.density"
"BRA","1992",929.003678997592,1.42043465472225,400599250000,-0.466913209800552,34.3154248074783,61.4696853936042,1.59730289006838,155379009,24.556,75.444,18.2460316565619
"BRA","1993",937.56983457935,1.46210883415746,437798577639.752,4.66516898877852,33.7560481691469,61.9303707913114,1.55384936209586,157812220,23.819,76.181,18.5317616610124
"BRA","1994",971.918434203391,1.51100239866955,558111997497.263,5.33455170247368,33.169921687756,62.4266834346987,1.53948209832168,160260508,23.097,76.903,18.8192621454079
"BRA","1995",989.798639371285,1.5873392417049,785643456467.255,4.41673135388506,32.5673309045137,62.9513120987321,1.54456681760655,162755054,22.39,77.61,19.1121946694192
"BRA","1996",1026.37543124933,1.72279160068058,850425828275.793,2.20753552431761,31.95249177186,63.4443819296734,1.55347567842489,165303155,21.698,78.302,19.4114161138687
"BRA","1997",1061.83829203735,1.79010337097845,883199443413.729,3.39502864021104,31.360284908615,63.92813649173,1.55507539704588,167893835,20.952,79.048,19.7156375759327
"BRA","1998",1070.5882848322,1.83143031299461,863723395088.324,0.338356176968674,30.785833946539,64.3986644059429,1.5500115548493,170516482,20.219,79.781,20.0236128970134
"BRA","1999",1078.18326474219,1.84907556878028,599388879704.634,0.46906658888139,30.2253949115749,64.8478543256058,1.53440172087956,173153066,19.504,80.496,20.3332248287589
"BRA","2000",1066.30285552001,1.86580837597139,655421153320.579,4.11256491132137,29.6806060258083,65.2681676398466,1.50938769771266,175786441,18.808,81.192,20.6424599302236
"BRA","2001",1068.89593438597,1.89123873617418,559372502338.237,1.65781796662895,29.2626268054399,65.5376991636044,1.48670813501134,178419396,18.447,81.553,20.9516457114272
"BRA","2002",1081.26747985115,1.8352662792254,507962741819.919,3.0531609195401,28.8167131956463,65.820941942624,1.46119528405558,181045592,18.12,81.88,21.2600377887143
"BRA","2003",1083.58877868398,1.75149065902436,558320116997.075,1.14031904582265,28.3677459378748,66.100306556204,1.41594832801114,183627339,17.797,82.203,21.563210255796
"BRA","2004",1128.55074435341,1.81513348184222,669316239316.239,5.76088072597591,27.9356442184506,66.3659680476348,1.34637132994086,186116363,17.479,82.521,21.8554943358029
"BRA","2005",1142.46987625799,1.84269049471974,891629970423.924,3.20205152698392,27.5180943004651,66.6239406525621,1.26157825677543,188479240,17.166,82.834,22.1329650753837
"BRA","2006",1168.42938262865,1.82313307231817,1107640325472.35,3.96050202907196,27.1113864128406,66.8753473190138,1.17044204549015,190698241,16.857,83.143,22.3935405723734
"BRA","2007",1221.36231051455,1.88403447079654,1397084381901.29,6.07228369037966,26.6890405583963,67.1440613222262,1.08808050317716,192784521,16.552,83.448,22.6385307494214
"BRA","2008",1276.27463668681,1.99042894229295,1695824517395.57,5.0937670118105,26.2553688023418,67.4202145902615,1.02447207415688,194769696,16.251,83.749,22.8716482478977
"BRA","2009",1222.42911177943,1.86652237546496,1667020106031.81,-0.126147414522819,25.8175449355703,67.689659577132,0.986850982951653,196701298,15.956,84.044,23.0984747122104
"BRA","2010",1338.58958871663,2.11341454484465,2208872214643.02,7.52879738130943,25.3815205405648,67.9423206218963,0.967796558286436,198614208,15.665,84.335,23.3231061900451
"BRA","2011",1346.6496534289,2.19139356376845,2614573170731.71,3.91025534813345,24.856537270068,68.2574013060121,0.953765381161696,200517584,15.377,84.623,23.5466180979524
"CHN","1992",752.628662540666,2.31420729031649,424934065934.066,14.2764648768192,28.6603092931706,65.8367436507318,1.2255362283362,1164970000,71.8,28.2,121.821195342441
"CHN","1993",788.128723566749,2.44280065934625,442874596387.119,13.9376770528869,28.3384851450368,66.0480723935112,1.14961943083465,1178440000,70.897,29.103,123.22975650819
"CHN","1994",816.162889997357,2.56599389177193,562261129868.774,13.0780706109876,28.0415235797411,66.22789811479,1.13026063215591,1191835000,69.976,30.024,124.630474905756
"CHN","1995",866.848089604143,2.75575496636525,732032045217.766,10.993843447999,27.8063231203578,66.3429926656783,1.08650915088974,1204855000,69.039,30.961,125.992111212661
